starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 14 18:15:52 2023	1694704552	1	94	95	94
Thu Sep 14 18:15:44 2023	1694704544	0	96	96	96
Thu Sep 14 18:15:50 2023	1694704550	1	95	96	95
Thu Sep 14 18:15:53 2023	1694704553	1	95	96	95
Thu Sep 14 18:15:46 2023	1694704546	0	96	96	96
Thu Sep 14 18:15:53 2023	1694704553	1	96	96	95
Thu Sep 14 18:15:51 2023	1694704551	0	96	96	95
Thu Sep 14 18:15:52 2023	1694704552	0	96	96	96
Thu Sep 14 18:15:53 2023	1694704553	1	95	97	95
Thu Sep 14 18:15:57 2023	1694704557	0	96	97	96
Thu Sep 14 18:15:45 2023	1694704545	0	97	97	97
Thu Sep 14 18:15:44 2023	1694704544	1	96	97	95
Thu Sep 14 18:15:55 2023	1694704555	1	96	97	96
Thu Sep 14 18:15:45 2023	1694704545	0	97	97	97
Thu Sep 14 18:15:48 2023	1694704548	1	96	97	96
Thu Sep 14 18:15:54 2023	1694704554	0	97	97	97
Thu Sep 14 18:15:50 2023	1694704550	0	97	97	97
Thu Sep 14 18:15:50 2023	1694704550	1	96	97	92
Thu Sep 14 18:15:55 2023	1694704555	0	97	97	96
Thu Sep 14 18:15:46 2023	1694704546	0	97	97	96
Thu Sep 14 18:15:49 2023	1694704549	0	97	98	95
Thu Sep 14 18:15:50 2023	1694704550	0	98	98	96
Thu Sep 14 18:15:49 2023	1694704549	0	98	98	98
Thu Sep 14 18:15:43 2023	1694704543	0	98	98	98
Thu Sep 14 18:15:54 2023	1694704554	0	98	98	90
Thu Sep 14 18:15:44 2023	1694704544	0	98	98	98
Thu Sep 14 18:15:45 2023	1694704545	0	98	98	98
Thu Sep 14 18:15:53 2023	1694704553	0	98	98	91
Thu Sep 14 18:15:54 2023	1694704554	0	98	98	97
Thu Sep 14 18:15:50 2023	1694704550	1	98	98	98
Thu Sep 14 18:15:55 2023	1694704555	0	98	98	98
Thu Sep 14 18:15:48 2023	1694704548	0	98	98	98
Thu Sep 14 18:15:53 2023	1694704553	0	98	98	98
Thu Sep 14 18:15:49 2023	1694704549	0	98	98	96
Thu Sep 14 18:15:48 2023	1694704548	0	98	98	96
Thu Sep 14 18:15:51 2023	1694704551	0	98	98	87
Thu Sep 14 18:15:55 2023	1694704555	0	99	99	99
Thu Sep 14 18:15:50 2023	1694704550	0	99	99	99
Thu Sep 14 18:15:56 2023	1694704556	1	98	99	83
Thu Sep 14 18:15:44 2023	1694704544	1	98	99	96
Thu Sep 14 18:15:49 2023	1694704549	0	99	99	99
Thu Sep 14 18:15:56 2023	1694704556	1	98	99	98
Thu Sep 14 18:15:52 2023	1694704552	0	100	100	100
Thu Sep 14 18:15:54 2023	1694704554	1	99	100	99
Thu Sep 14 18:15:56 2023	1694704556	1	99	100	99
Thu Sep 14 18:15:51 2023	1694704551	0	100	100	99
Thu Sep 14 18:15:54 2023	1694704554	0	100	100	100
Thu Sep 14 18:15:47 2023	1694704547	0	100	100	100
Thu Sep 14 18:15:54 2023	1694704554	0	100	100	100
Thu Sep 14 18:15:45 2023	1694704545	1	100	100	97
Thu Sep 14 18:15:52 2023	1694704552	1	100	101	100
Thu Sep 14 18:15:50 2023	1694704550	1	100	101	100
Thu Sep 14 18:15:56 2023	1694704556	0	101	101	101
Thu Sep 14 18:15:53 2023	1694704553	0	101	101	101
Thu Sep 14 18:15:46 2023	1694704546	0	101	101	101
Thu Sep 14 18:15:44 2023	1694704544	0	102	102	102
Thu Sep 14 18:15:53 2023	1694704553	1	101	102	101
Thu Sep 14 18:15:55 2023	1694704555	0	102	102	102
Thu Sep 14 18:15:47 2023	1694704547	1	101	102	101
Thu Sep 14 18:15:56 2023	1694704556	1	102	102	102
Thu Sep 14 18:15:55 2023	1694704555	0	102	102	102
Thu Sep 14 18:15:53 2023	1694704553	1	102	102	102
Thu Sep 14 18:15:51 2023	1694704551	1	101	102	99
Thu Sep 14 18:15:51 2023	1694704551	1	102	103	101
Thu Sep 14 18:15:56 2023	1694704556	1	103	103	101
Thu Sep 14 18:15:53 2023	1694704553	0	103	103	102
Thu Sep 14 18:15:47 2023	1694704547	1	102	103	102
Thu Sep 14 18:15:55 2023	1694704555	1	103	104	101
Thu Sep 14 18:15:55 2023	1694704555	0	104	104	100
Thu Sep 14 18:15:52 2023	1694704552	0	104	104	103
Thu Sep 14 18:15:53 2023	1694704553	1	103	104	103
Thu Sep 14 18:15:52 2023	1694704552	0	104	104	104
Thu Sep 14 18:15:51 2023	1694704551	1	103	104	99
Thu Sep 14 18:15:50 2023	1694704550	0	104	104	104
Thu Sep 14 18:15:51 2023	1694704551	1	103	104	103
Thu Sep 14 18:15:46 2023	1694704546	1	104	105	102
Thu Sep 14 18:15:45 2023	1694704545	1	104	105	99
Thu Sep 14 18:15:52 2023	1694704552	0	105	105	105
Thu Sep 14 18:15:52 2023	1694704552	1	104	105	104
Thu Sep 14 18:15:49 2023	1694704549	1	105	105	105
Thu Sep 14 18:15:54 2023	1694704554	1	104	105	104
Thu Sep 14 18:15:50 2023	1694704550	1	105	106	104
Thu Sep 14 18:15:46 2023	1694704546	0	106	106	106
Thu Sep 14 18:15:45 2023	1694704545	0	106	106	101
Thu Sep 14 18:15:54 2023	1694704554	1	105	106	105
Thu Sep 14 18:15:51 2023	1694704551	1	106	106	106
Thu Sep 14 18:15:55 2023	1694704555	0	107	107	107
Thu Sep 14 18:15:56 2023	1694704556	0	107	107	107
Thu Sep 14 18:15:48 2023	1694704548	0	107	107	107
Thu Sep 14 18:15:53 2023	1694704553	0	107	107	107
Thu Sep 14 18:15:56 2023	1694704556	0	107	107	107
Thu Sep 14 18:15:44 2023	1694704544	1	107	107	107
Thu Sep 14 18:15:52 2023	1694704552	0	107	107	107
Thu Sep 14 18:15:56 2023	1694704556	0	107	107	102
Thu Sep 14 18:15:55 2023	1694704555	1	106	107	106
Thu Sep 14 18:15:50 2023	1694704550	0	107	107	106
Thu Sep 14 18:15:45 2023	1694704545	0	108	108	108
Thu Sep 14 18:15:53 2023	1694704553	0	108	108	107
Thu Sep 14 18:15:57 2023	1694704557	0	108	108	108
Thu Sep 14 18:15:54 2023	1694704554	0	109	109	108
Thu Sep 14 18:15:51 2023	1694704551	0	109	109	104
Thu Sep 14 18:15:44 2023	1694704544	0	109	109	109
Thu Sep 14 18:15:51 2023	1694704551	1	109	109	109
Thu Sep 14 18:15:52 2023	1694704552	0	109	109	102
Thu Sep 14 18:15:56 2023	1694704556	0	109	110	109
Thu Sep 14 18:15:47 2023	1694704547	0	110	110	109
Thu Sep 14 18:15:50 2023	1694704550	1	109	110	109
Thu Sep 14 18:15:56 2023	1694704556	1	109	110	109
Thu Sep 14 18:15:51 2023	1694704551	1	109	110	108
Thu Sep 14 18:15:51 2023	1694704551	0	110	110	103
Thu Sep 14 18:15:51 2023	1694704551	0	110	110	110
Thu Sep 14 18:15:49 2023	1694704549	0	110	110	109
Thu Sep 14 18:15:54 2023	1694704554	0	110	110	110
Thu Sep 14 18:15:56 2023	1694704556	0	111	111	110
Thu Sep 14 18:15:50 2023	1694704550	1	110	111	109
Thu Sep 14 18:15:46 2023	1694704546	0	111	111	111
Thu Sep 14 18:15:54 2023	1694704554	0	112	112	112
Thu Sep 14 18:15:51 2023	1694704551	0	112	112	112
Thu Sep 14 18:15:51 2023	1694704551	0	112	112	112
Thu Sep 14 18:15:54 2023	1694704554	0	113	113	113
Thu Sep 14 18:15:55 2023	1694704555	0	113	113	113
Thu Sep 14 18:15:54 2023	1694704554	0	114	114	113
Thu Sep 14 18:15:51 2023	1694704551	1	113	114	113
Thu Sep 14 18:15:54 2023	1694704554	0	115	115	115
Thu Sep 14 18:15:48 2023	1694704548	1	115	115	114
Thu Sep 14 18:15:52 2023	1694704552	1	115	115	115
Thu Sep 14 18:15:44 2023	1694704544	0	115	115	115
Thu Sep 14 18:15:54 2023	1694704554	1	116	116	116
Thu Sep 14 18:15:45 2023	1694704545	1	116	116	116
Thu Sep 14 18:15:55 2023	1694704555	0	117	117	117
Thu Sep 14 18:15:49 2023	1694704549	0	117	117	117
Thu Sep 14 18:15:50 2023	1694704550	0	118	118	117
Thu Sep 14 18:15:56 2023	1694704556	0	118	118	118
Thu Sep 14 18:15:54 2023	1694704554	0	118	118	118
Thu Sep 14 18:15:50 2023	1694704550	1	118	119	118
Thu Sep 14 18:15:50 2023	1694704550	0	119	119	119
Thu Sep 14 18:15:45 2023	1694704545	1	119	119	119
Thu Sep 14 18:15:54 2023	1694704554	1	118	119	118
Thu Sep 14 18:15:52 2023	1694704552	1	119	120	115
Thu Sep 14 18:15:51 2023	1694704551	1	119	120	119
Thu Sep 14 18:15:54 2023	1694704554	1	119	120	111
Thu Sep 14 18:15:52 2023	1694704552	0	120	120	100
Thu Sep 14 18:15:54 2023	1694704554	1	120	120	120
Thu Sep 14 18:15:56 2023	1694704556	0	120	120	120
Thu Sep 14 18:15:56 2023	1694704556	0	121	121	121
