starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 14 18:15:52 2023	1694704552	0	42	42	42
Thu Sep 14 18:15:45 2023	1694704545	0	42	42	41
Thu Sep 14 18:15:56 2023	1694704556	1	41	42	40
Thu Sep 14 18:15:44 2023	1694704544	1	41	42	36
Thu Sep 14 18:15:45 2023	1694704545	0	42	42	42
Thu Sep 14 18:15:45 2023	1694704545	0	42	42	42
Thu Sep 14 18:15:45 2023	1694704545	0	42	42	41
Thu Sep 14 18:15:47 2023	1694704547	1	41	42	41
Thu Sep 14 18:15:54 2023	1694704554	0	42	42	42
Thu Sep 14 18:15:49 2023	1694704549	1	41	42	39
Thu Sep 14 18:15:52 2023	1694704552	1	42	42	42
Thu Sep 14 18:15:47 2023	1694704547	0	42	42	42
Thu Sep 14 18:15:56 2023	1694704556	1	42	42	42
Thu Sep 14 18:15:48 2023	1694704548	1	42	42	41
Thu Sep 14 18:15:57 2023	1694704557	1	42	42	41
Thu Sep 14 18:15:56 2023	1694704556	1	42	42	38
Thu Sep 14 18:15:55 2023	1694704555	1	42	42	42
Thu Sep 14 18:15:50 2023	1694704550	0	42	42	42
Thu Sep 14 18:15:54 2023	1694704554	0	42	42	42
Thu Sep 14 18:15:47 2023	1694704547	1	41	42	41
Thu Sep 14 18:15:47 2023	1694704547	0	42	42	42
Thu Sep 14 18:15:44 2023	1694704544	1	42	42	41
Thu Sep 14 18:15:56 2023	1694704556	0	43	43	43
Thu Sep 14 18:15:46 2023	1694704546	1	42	43	42
Thu Sep 14 18:15:44 2023	1694704544	0	43	43	43
Thu Sep 14 18:15:52 2023	1694704552	1	42	43	42
Thu Sep 14 18:15:45 2023	1694704545	1	42	43	42
Thu Sep 14 18:15:46 2023	1694704546	0	43	43	43
Thu Sep 14 18:15:55 2023	1694704555	0	43	43	43
Thu Sep 14 18:15:53 2023	1694704553	0	42	43	42
Thu Sep 14 18:15:46 2023	1694704546	1	42	43	42
Thu Sep 14 18:15:48 2023	1694704548	1	42	43	42
Thu Sep 14 18:15:45 2023	1694704545	0	43	43	43
Thu Sep 14 18:15:44 2023	1694704544	0	43	43	43
Thu Sep 14 18:15:47 2023	1694704547	1	42	43	42
Thu Sep 14 18:15:46 2023	1694704546	0	43	43	43
Thu Sep 14 18:15:49 2023	1694704549	1	42	43	42
Thu Sep 14 18:15:43 2023	1694704543	0	43	43	43
Thu Sep 14 18:15:54 2023	1694704554	1	42	43	41
Thu Sep 14 18:15:50 2023	1694704550	1	42	43	42
Thu Sep 14 18:15:46 2023	1694704546	0	43	43	43
Thu Sep 14 18:15:52 2023	1694704552	1	43	43	43
Thu Sep 14 18:15:49 2023	1694704549	0	43	43	42
Thu Sep 14 18:15:49 2023	1694704549	0	43	43	43
Thu Sep 14 18:15:50 2023	1694704550	1	43	43	42
Thu Sep 14 18:15:45 2023	1694704545	0	43	43	43
Thu Sep 14 18:15:45 2023	1694704545	0	43	43	41
